"","Species","CommonName","TaxonomicGrouping","FilterRegion","FilterSubRegion","ManagementBody","ManagementPlan","DistributionProjectName"
"241","Engyophrys senta","Spiny flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"242","Epinephelus morio","Red grouper","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"243","Eques lanceolatus","Jackknife-fish","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"244","Etropus crossotus","Fringed flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"245","Etropus rimosus","Gray flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"246","Eucidaris tribuloides","Slate pencil urchin","Echinoidea (sea urchins, sand dollars)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"247","Eucinostomus gula","Silver jenny","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"248","Eucinostomus harengulus","Tidewater mojarra","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"249","Euphrosynoplax clausa","Craggy bathyal crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"250","Euvola marensis","Paper scallop","Bivalvia (clams, muscles, oyster, arks, etc)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"251","Euvola raveneli","Round rib scallop","Bivalvia (clams, muscles, oyster, arks, etc)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"252","Fowlerichthys radiosus","Singlespot frogfish","Lophiiformes (Anglerfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"253","Gastropsetta frontalis","Shrimp flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"254","Gymnothorax saxicola","Honeycomb moray","Anguilliformes (Eels and morays)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"255","Haemulon aurolineatum","Tomtate grunt","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"256","Haemulon plumierii","White grunt","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"257","Halieutichthys sp","Batfishes","Lophiiformes (Anglerfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"258","Harengula jaguana","Scaled sardine","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"259","Hepatus epheliticus","Calico box crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"260","Hippocampus erectus","Lined seahorse","Syngnathiformes (Seahorses)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"261","Holacanthus bermudensis","Blue angelfish","Acanthuriformes (Surgeonfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"262","Iliacantha liodactylus",NA,"Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"263","Kathetostoma albigutta","Lancer stargazer","Perciformes/Uranoscopoidei (Sand dwellers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"264","Laevicardium mortoni","Yellow eggcockle","Bivalvia (clams, muscles, oyster, arks, etc)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"265","Lagocephalus laevigatus","Smooth puffer","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"266","Lagodon rhomboides","Pinfish","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"267","Larimus fasciatus","Banded drum","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"268","Leiolambrus nitidus","White elbow crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"269","Leiostomus xanthurus","Spot","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"270","Lepophidium brevibarbe","Blackedge cusk-eel","Ophidiiformes (Cusk eels)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"271","Lepophidium jeannae","Mottled cusk-eel","Ophidiiformes (Cusk eels)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"272","Lolliguncula brevis","Atlantic brief squid","Cephalopoda (squid, octopus)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"273","Luidia alternata","Banded sea star","Asteroidea (starfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"274","Luidia clathrata","Lined sea star","Asteroidea (starfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"275","Luidia lawrencei",NA,"Asteroidea (starfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"276","Lutjanus campechanus","Red snapper","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","US East Coast","Southeast US",NA,NA,"Not for IDW"
"277","Lutjanus campechanus","Red snapper","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"278","Lutjanus griseus","Gray snapper","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"279","Lutjanus synagris","Lane snapper","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"280","Lytechinus variegatus","Variegated sea urchin","Echinoidea (sea urchins, sand dollars)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"281","Lytechinus variegatus carolinus",NA,"Echinoidea (sea urchins, sand dollars)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"282","Menticirrhus americanus","Southern kingfish","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"283","Metapenaeopsis goodei","Caribbean velvet shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"284","Micropogonias undulatus","Atlantic croaker","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"285","Mithrax pleuracanthus","Shaggy clinging crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"286","Monacanthus ciliatus","Fringed filefish","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"287","Moreiradromia antillensis","Hairy sponge crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"288","Mullus auratus","Red goatfish","Mulliformes (Goatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"289","Myropsis quinquespinosa","Fivespine purse crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"290","Nicholsina usta","Emerald parrotfish","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"291","Octopus joubini","Atlantic pygmy octopus","Cephalopoda (squid, octopus)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"292","Octopus vulgaris","Common octopus","Cephalopoda (squid, octopus)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"293","Ogcocephalus corniger","Longnose batfish","Lophiiformes (Anglerfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"294","Ogcocephalus cubifrons",NA,"Lophiiformes (Anglerfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"295","Ogcocephalus declivirostris","Slantbrow batfish","Lophiiformes (Anglerfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"296","Ogcocephalus pantostictus","Spotted batfish","Lophiiformes (Anglerfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"297","Ogcocephalus parvus","Roughback batfish","Lophiiformes (Anglerfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"298","Ogcocephalus radiatus","Polka-dot batfish","Lophiiformes (Anglerfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"299","Ophidion antipholus","Longnose cusk-eel","Ophidiiformes (Cusk eels)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"300","Ophidion holbrookii","Bank cusk-eel","Ophidiiformes (Cusk eels)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"301","Ophiolepis elegans","Elegant brittle star","Ophiuroidea (brittle stars)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"302","Opisthonema oglinum","Atlantic thread herring","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"303","Orthopristis chrysoptera","Pigfish","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"304","Ovalipes floridanus","Florida lady crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"305","Pagrus pagrus","Red porgy","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"306","Paguristes sericeus","Blue-eyed hermit","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"307","Paralichthys albigutta","Gulf flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"308","Paralichthys lethostigma","Southern flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"309","Parapenaeus politus","Rose shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"310","Pareques umbrosus","Cubbyu","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"311","Penaeus aztecus","Brown shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"312","Penaeus aztecus","Brown shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan","NMFS/Rutgers IDW Interpolation"
"313","Penaeus duorarum","Pink shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"314","Penaeus duorarum","Pink shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan","NMFS/Rutgers IDW Interpolation"
"315","Penaeus setiferus","Northern white shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"316","Penaeus setiferus","Northern white shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico","GSMFC","Interstate Fishery Management Plan","NMFS/Rutgers IDW Interpolation"
"317","Peprilus burti","Gulf butterfish","Scombriformes (Mackerels)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"318","Peprilus paru","Harvestfish","Scombriformes (Mackerels)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"319","Pitarenus cordatus","Corded pitar","Bivalvia (clams, muscles, oyster, arks, etc)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"320","Platylambrus granulatus","Bladetooth elbow crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"321","Polydactylus octonemus","Atlantic threadfin","Carangaria/misc (barracuda, threadfins)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"322","Polystira albida","White giant-turris","Gastropoda (sea snails and slugs)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"323","Porichthys plectrodon","Atlantic midshipman","Batrachoidiformes (Toadfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"324","Priacanthus arenatus","Atlantic bigeye","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"325","Prionotus alatus","Spiny searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"326","Prionotus longispinosus","Bigeye searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"327","Prionotus martis","Gulf of mexico barred searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"328","Prionotus ophryas","Bandtail searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"329","Prionotus paralatus","Mexican searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"330","Prionotus roseus","Bluespotted searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"331","Prionotus rubio","Blackwing searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"332","Prionotus scitulus","Leopard searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"333","Prionotus stearnsi","Shortwing searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"334","Prionotus tribulus","Bighead searobin","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"335","Pristigenys alta","Short bigeye","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"336","Pristipomoides aquilonaris","Wenchman","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"337","Pseudorhombila quadridentata","Flecked squareback crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"338","Raninoides louisianensis","Gulf frog crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"339","Renilla muelleri","Mueller's sea pansy","Cnidaria (jellyfish, corals, anenomes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"340","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Elasmobranchii: Selachii (sharks)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"341","Rhomboplites aurorubens","Vermilion snapper","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico","GMFMC","Reef Fish Resources of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"342","Rhynchoconger flavus","Yellow conger","Anguilliformes (Eels and morays)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"343","Rostroraja eglanteria","Clearnose skate","Elasmobranchii: Batoidea (skates, rays)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"344","Rostroraja texana","Roundel skate","Elasmobranchii: Batoidea (skates, rays)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"345","Rypticus maculatus","Whitespotted soapfish","Perciformes/Percoidei (bony fishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"346","Sardinella aurita","Spanish sardine","Clupeiformes (Herrings, anchovy, shad)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"347","Saurida brasiliensis","Largescale lizardfish","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"348","Saurida normani","Shortjaw lizardfish","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"349","Scomberomorus maculatus","Spanish mackerel","Scombriformes (Mackerels)","Gulf of Mexico","Gulf of Mexico","GMFMC","Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic","Not for IDW"
"350","Scorpaena agassizii","Longfin scorpionfish","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"351","Scorpaena brasiliensis","Barbfish","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"352","Scorpaena calcarata","Smoothhead scorpionfish","Perciformes/Scorpaenoidei (Scorpionfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"353","Scyllarides nodifer","Ridged slipper lobster","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"354","Scyllarus chacei","Chace slipper lobster","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"355","Selene setapinnis","Atlantic moonfish","Carangiformes (Jacks)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"356","Serranus atrobranchus","Blackear bass","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"357","Serranus notospilus","Saddle bass","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"358","Serranus phoebe","Tattler","Perciformes/Serranoidei (Groupers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"359","Sicyonia brevirostris","Brown rock shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"360","Sicyonia dorsalis","Lesser rock shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"361","Solenocera atlantidis","Dwarf humpback shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"362","Solenocera vioscai","Humpback shrimp","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"363","Sphoeroides dorsalis","Marbled puffer","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"364","Sphoeroides parvus","Least puffer","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"365","Sphoeroides spengleri","Bandtail puffer","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"366","Squilla chydaea","Offshore mantis shrimp","Stomatopoda (mantis shrimp)","Gulf of Mexico","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"367","Squilla empusa","Mantis shrimp","Stomatopoda (mantis shrimp)","Gulf of Mexico","Gulf of Mexico","GMFMC","Shrimp Fishery of the Gulf of Mexico","NMFS/Rutgers IDW Interpolation"
"368","Stellifer lanceolatus","Star drum","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"369","Stenocionops coelatus",NA,"Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"370","Stenocionops furcatus","Furcate spider crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"371","Stenorhynchus seticornis","Yellowline arrow crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"372","Stenorhynchus yangi","Red arrow crab","Decapoda (Crabs/Lobster/Shrimp)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"373","Stenotomus caprinus","Longspine porgy","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"374","Stephanolepis hispida","Planehead filefish","Tetraodontiformes (puffers and filefishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"375","Stylocidaris affinis","Pencil urchin","Echinoidea (sea urchins, sand dollars)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"376","Syacium gunteri","Shoal flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"377","Syacium papillosum","Dusky flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"378","Symphurus diomedeanus","Spottedfin tonguefish","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"379","Symphurus plagiusa","Blackcheek tonguefish","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"380","Synodus foetens","Inshore lizardfish","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"381","Synodus intermedius","Sand diver","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"382","Synodus macrostigmus","Largespot lizardfish","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"383","Synodus poeyi","Offshore lizardfish","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"384","Trachinocephalus myops","Snakefish","Aulopiformes (Grinners, lizardfish)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"385","Trachurus lathami","Rough scad","Carangiformes (Jacks)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"386","Trichiurus lepturus","Atlantic cutlassfish","Scombriformes (Mackerels)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"387","Trichopsetta ventralis","Sash flounder","Pleuronectiformes (Flatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"388","Upeneus parvus","Dwarf goatfish","Mulliformes (Goatfishes)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"389","Urophycis cirrata","Gulf hake","Gadiformes (Cods, genadiers, pollock)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"390","Urophycis floridana","Southern hake","Gadiformes (Cods, genadiers, pollock)","Gulf of Mexico","Gulf of Mexico",NA,NA,"Not for IDW"
"391","Xyrichtys novacula","Pearly razorfish","Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers)","Gulf of Mexico","Gulf of Mexico",NA,NA,"NMFS/Rutgers IDW Interpolation"
"392","Albatrossia pectoralis","Giant grenadier","Gadiformes (Cods, genadiers, pollock)","Alaska","Gulf of Alaska",NA,NA,"Not for IDW"
"393","Anoplopoma fimbria","Sablefish","Perciformes/Cottoidei (sculpins)","Alaska","Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"394","Atheresthes stomias","Arrowtooth flounder","Pleuronectiformes (Flatfishes)","Alaska","Gulf of Alaska","NPFMC","Groundfish of the Gulf of Alaska","NMFS/Rutgers IDW Interpolation"
"395","Bathymaster signatus","Searcher","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Gulf of Alaska",NA,NA,"NMFS/Rutgers IDW Interpolation"
