,Species,CommonName,TaxonomicGrouping,FilterRegion,FilterSubRegion,ManagementBody,ManagementPlan,DistributionProjectName
13,Bathyraja spp.,Skate complex,"Elasmobranchii: Batoidea (skates, rays)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
14,Berryteuthis magister,Magister armhook squid,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
15,Bonneviella sp. A (Clark 2006),champagne flute hydroid,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
16,Calcigorgia spiculifera,Pink gorgonian,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
17,Callogorgia compressa,NA,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
18,Careproctus rastrinus,Salmon snailfish,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,,Not for IDW
19,Careproctus sp. cf. melanurus (Orr et al.),scorched snailfish,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,,Not for IDW
20,Ceramaster japonicus,Red cookie star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
21,Ceramaster patagonicus,Cookie star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
22,Cheiraster (Luidiaster) dawsoni,NA,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
23,Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
24,Chirona evermanni,Deepwater giant barnacle,Balanomorpha (barnacles),Alaska,Aleutian Islands,,,Not for IDW
25,Chlamys albida,White scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Aleutian Islands,,,Not for IDW
26,Chlamys rubida,Reddish scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Aleutian Islands,,,Not for IDW
27,Chrysaora melanaster,NA,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
28,Cladocroce attu,Rough hat sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
29,Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
30,Cucumaria fallax,Sea football,Holothuroidea (sea cucumbers),Alaska,Aleutian Islands,,,Not for IDW
31,Cucumaria frondosa,Orange footed sea cucumber,Holothuroidea (sea cucumbers),Alaska,Aleutian Islands,,,Not for IDW
32,Diplopteraster multipes,Pincushion star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
33,Elassochirus cavimanus,Purple hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
34,Elassochirus tenuimanus,Widehand hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,Not for IDW
35,Enteroctopus dofleini,North pacific giant octopus,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
36,Erimacrus isenbeckii,Hair crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,Not for IDW
37,Eucratea loricata,Feathery bryozoan,Bryozoa,Alaska,Aleutian Islands,,,Not for IDW
38,Eumicrotremus orbis,Pacific spiny lumpsucker,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
39,Eunoe nodosa,Giant scale worm,Polychaeta (brittle worms) ,Alaska,Aleutian Islands,,,Not for IDW
40,Fusitriton oregonensis,Oregon triton,Gastropoda (sea snails and slugs),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
41,Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
42,Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
43,Geodia carolae,calcareous finger sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
44,Glyptocephalus zachirus,Rex sole,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
45,Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
46,Gymnocanthus galeatus,Armorhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
47,Halichondria (Halichondria) panicea,Breadcrumb sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
48,Halocynthia aurantium,Sea peach,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
49,Hemilepidotus jordani,Yellow irish lord,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
50,Hemilepidotus zapus,Longfin irish lord,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,,Not for IDW
51,Hemitripterus bolini,Bigmouth sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,,Not for IDW
52,Henricia asthenactis,NA,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
53,Henricia leviuscula,Pacific blood star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
54,Hippasteria phrygiana,Arctic cushion star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
55,Hippoglossoides elassodon,Flathead sole,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
56,Hippoglossus stenolepis,Pacific halibut,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Species Managed Under International Agreement - IPHC,NMFS/Rutgers IDW Interpolation
57,Histodermella kagigunensis,Spud sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
58,Hyas lyratus,Pacific lyre crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
59,Isodictya rigida,Orange finger sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
60,Latrunculia (Uniannulata) oparinae,NA,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
61,Lebbeus groenlandicus,Spiny lebbeid,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,Not for IDW
62,Lepidopsetta sp.,Rock soles,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
63,Leptasterias coei truculenta,Giant Aleutian six-rayed star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
64,Lethasterias nanimensis,Black spined sea star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
65,Lethotremus muticus,Docked snailfish,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,,Not for IDW
66,Lithodes aequispinus,Golden king crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
67,Lycodes concolor,Ebony eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Aleutian Islands,,,Not for IDW
68,Malacocottus zonurus,Darkfin sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
69,Microstomus pacificus,Dover sole,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
70,Modiolus modiolus,Northern horsemussel,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Aleutian Islands,,,Not for IDW
71,Monanchora pulchra,Yellow leafy sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
72,Muriceides nigra,NA,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
73,Mycale (Mycale) loveni,Loven's horny sponge,Porifera (sponges),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
74,Myoxocephalus polyacanthocephalus,Great sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
75,Myxilla brunnea,soft brown sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
76,Ophiopholis aculeata,Daisy brittle star,Ophiuroidea (brittle stars),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
77,Ophiopholis longispina,NA,Ophiuroidea (brittle stars),Alaska,Aleutian Islands,,,Not for IDW
78,Oregonia gracilis,Graceful decorator crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
79,Pagurus aleuticus,Aleutian hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,Not for IDW
80,Pagurus brandti,Sponge hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
81,Pagurus trigonocheirus,Fuzzy hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,Not for IDW
82,Pandalus eous,Northern shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
83,Pandalus tridens,Yellowleg pandalid,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
84,Paragorgia arborea,Bubblegum coral,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
85,Phacellophora camtschatica,Fried egg jellyfish,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
86,Plakina tanaga,White convoluted sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
87,Pleurogrammus monopterygius,Atka mackerel,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
88,Plumarella superba,Bushy coral,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
89,Pododesmus macrochisma,Green falsejingle,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
90,Podothecus accipenserinus,Sturgeon poacher,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
91,Polymastia fluegeli,Flugel nippled sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
92,Polymastia sp. A (Clark 2006),prolific nipple sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
93,Porella compressa,Flattened bryozoan,Bryozoa,Alaska,Aleutian Islands,,,Not for IDW
94,Primnoa pacifica var. willeyi,Red tree coral,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,,Not for IDW
95,Pseudarchaster parelii,Northern scarlet star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
96,Pteraster marsippus,Prickly cushion star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
97,Pteraster militaris,Wrinkled sea star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
98,Pteraster sp. A (Clark 1999),NA,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
99,Pteraster tesselatus,Tesselated slime star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
100,Reinhardtius hippoglossoides,Greenland halibut,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
101,Rossia pacifica,Eastern pacific bobtail,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
102,Sarritor frenatus,Sawback poacher,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
103,Sebastes alutus,Pacific ocean perch,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
104,Sebastes borealis,Shortraker rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
105,Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
106,Sebastes polyspinis,Northern rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
107,Sebastes variabilis and S. ciliatus,Dusky and dark rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
108,Sebastolobus alascanus,Shortspine thornyhead,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
109,Solaster dawsoni,Morning sun star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
110,Solaster sp. A (Clark 1997),NA,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,,Not for IDW
111,Stegophiura ponderosa,NA,Ophiuroidea (brittle stars),Alaska,Aleutian Islands,,,Not for IDW
112,Stelodoryx oxeata,Scapula sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
113,Stenobrachius leucopsarus,Northern lampfish,Myctophiformes (Lanternfishes),Alaska,Aleutian Islands,,,Not for IDW
114,Strongylocentrotus droebachiensis,Green sea urchin,"Echinoidea (sea urchins, sand dollars) ",Alaska,Aleutian Islands,,,Not for IDW
115,Strongylocentrotus polyacanthus,NA,"Echinoidea (sea urchins, sand dollars) ",Alaska,Aleutian Islands,,,Not for IDW
116,Styela rustica,Sea potato,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Aleutian Islands,,,Not for IDW
117,Suberites ficus,Fig sponge,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
118,Synallactes challengeri,Challenger cucumber,Holothuroidea (sea cucumbers),Alaska,Aleutian Islands,,,Not for IDW
119,Tedania (Tedania) kagalaskai,NA,Porifera (sponges),Alaska,Aleutian Islands,,,Not for IDW
120,Triglops forficatus,Scissortail sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
121,Triglops scepticus,Spectacled sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
122,Zaprora silenus,Prowfish,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Aleutian Islands,,,NMFS/Rutgers IDW Interpolation
123,Aforia circinata,Keeled aforia,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
124,Anoplopoma fimbria,Sablefish,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
125,Aphrodita negligens,Dishevelled sea-mouse,Polychaeta (brittle worms) ,Alaska,Eastern Bering Sea,,,Not for IDW
126,Aplidium sp. A (Clark 2006),sea glob,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Eastern Bering Sea,,,Not for IDW
127,Arctoraja parmifera,Alaska skate,"Elasmobranchii: Batoidea (skates, rays)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
128,Argis dentata,Arctic argid,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
129,Argis lar,Kuro shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
130,Aspidophoroides monopterygius,Alligatorfish,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
131,Asterias amurensis,North pacific seastar,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
132,Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
133,Aulacofusus herendeeni,Thin-ribbed whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
134,Aurelia limbata,Brownbranded moon jelly,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Eastern Bering Sea,,,Not for IDW
135,Bathymaster signatus,Searcher,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
136,Bathyraja spp.,Skate complex,"Elasmobranchii: Batoidea (skates, rays)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
137,Beringius behringii,Behring's whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
138,Boltenia ovifera,Stalked sea squirt,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
139,Boreogadus saida,Arctic cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Eastern Bering Sea,,,Not for IDW
140,Buccinum angulosum,Angular whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
141,Buccinum oedematum,Swollen whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
142,Buccinum plectrum,Sinuous whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
143,Buccinum polare,Polar whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
144,Buccinum scalariforme,Ladder whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
145,Careproctus phasma,Monster snailfish,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
146,Careproctus rastrinus,Salmon snailfish,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
147,Careproctus scottae,Peachskin snailfish,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
148,Careproctus sp. cf. melanurus (Orr et al.),scorched snailfish,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
149,Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
150,Chionoecetes opilio,Snow crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,NMFS/Rutgers IDW Interpolation
151,Chrysaora melanaster,NA,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Eastern Bering Sea,,,Not for IDW
152,Ciliatocardium ciliatum,Hairy cockle,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Eastern Bering Sea,,,Not for IDW
153,Clinopegma magnum,Helmet whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
154,Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
155,Crangon dalli,Ridged crangon,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
156,Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
157,Cryptonatica russa,Russty moonsnail,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
158,Ctenodiscus crispatus,Mud star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
159,Cucumaria fallax,Sea football,Holothuroidea (sea cucumbers),Alaska,Eastern Bering Sea,,,Not for IDW
160,Cyanea capillata,Lion's mane,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Eastern Bering Sea,,,Not for IDW
161,Dasycottus setiger,Spinyhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
162,Echinarachnius parma,Common sand dollar,"Echinoidea (sea urchins, sand dollars) ",Alaska,Eastern Bering Sea,,,Not for IDW
163,Elassochirus cavimanus,Purple hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
164,Eleginus gracilis,Saffron cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Eastern Bering Sea,,,Not for IDW
165,Enteroctopus dofleini,North pacific giant octopus,"Cephalopoda (squid, octopus)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
166,Erimacrus isenbeckii,Hair crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
167,Eunoe depressa,Depressed scale worm,Polychaeta (brittle worms) ,Alaska,Eastern Bering Sea,,,Not for IDW
168,Eunoe nodosa,Giant scale worm,Polychaeta (brittle worms) ,Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
169,Euspira pallida,Pale moonsnail,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,Not for IDW
170,Evasterias echinosoma,Giant sea star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,,Not for IDW
171,Fusitriton oregonensis,Oregon triton,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
172,Gadus chalcogrammus,Walleye pollock,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
173,Gadus macrocephalus,Pacific cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
174,Gersemia rubiformis,Sea strawberry,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Eastern Bering Sea,,,Not for IDW
175,Glebocarcinus oregonensis,Pygmy rock crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,,Not for IDW
176,Glyptocephalus zachirus,Rex sole,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
177,Gorgonocephalus eucnemis,Basket star,Ophiuroidea (brittle stars),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
178,Gymnocanthus galeatus,Armorhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Not for IDW
179,Gymnocanthus pistilliger,Threaded sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,Not for IDW
180,Halocynthia aurantium,Sea peach,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Eastern Bering Sea,,,Not for IDW
181,Hemilepidotus jordani,Yellow irish lord,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,NMFS/Rutgers IDW Interpolation
182,Hemilepidotus papilio,Butterfly sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,,NMFS/Rutgers IDW Interpolation
